Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Collection
cotton-waffle-throw,Cotton Waffle Throw Blanket,"<p>Lightweight cotton waffle blanket perfect as a bed throw or sofa cover. Breathable honeycomb weave adds texture to any room. Pre-washed for immediate softness.</p><ul><li>100% organic cotton</li><li>Waffle honeycomb weave</li><li>150cm x 200cm</li><li>Machine washable</li></ul>",Intelligent Home,Home & Garden > Bedding > Blankets & Throws,Bedroom,"bedroom, throw, blanket, cotton, waffle, organic",true,Color,Cream,,,IH-BD-002,900,shopify,40,deny,manual,54.99,69.99,true,true,,Organic cotton waffle throw blanket in cream,Cotton Waffle Throw | Intelligent Home,Lightweight organic cotton waffle throw blanket. Pre-washed for immediate softness. 150x200cm.,Bedroom
cotton-waffle-throw,,,,,,,,Color,Charcoal,,,IH-BD-002-C,900,shopify,35,deny,manual,54.99,69.99,true,true,,,,,,
silk-pillowcase-set,Silk Pillowcase Set (2-Pack),"<p>Pure mulberry silk pillowcases that reduce friction on hair and skin while you sleep. 22-momme weight for the perfect balance of luxury and durability. Hidden zipper closure.</p><ul><li>100% mulberry silk</li><li>22-momme weight</li><li>Hidden zipper closure</li><li>Reduces hair breakage</li></ul>",Intelligent Home,Home & Garden > Bedding > Pillowcases,Bedroom,"bedroom, pillowcase, silk, mulberry, luxury, best-seller",true,Color,Pearl White,,,IH-BD-003,200,shopify,50,deny,manual,49.99,64.99,true,true,,Mulberry silk pillowcase set - 2 pack in pearl white,Silk Pillowcase Set | Intelligent Home,Pure 22-momme mulberry silk pillowcases. Reduces friction on hair and skin. 2-pack.,Bedroom
silk-pillowcase-set,,,,,,,,Color,Dusty Rose,,,IH-BD-003-R,200,shopify,40,deny,manual,49.99,64.99,true,true,,,,,,
essential-oil-diffuser,Essential Oil Diffuser & Night Light,"<p>Whisper-quiet ultrasonic diffuser doubles as a warm ambient night light. 300ml capacity runs up to 8 hours. Auto shut-off when water runs low. Creates a calming bedtime atmosphere.</p><ul><li>300ml capacity</li><li>8-hour run time</li><li>7 LED color options</li><li>Auto shut-off</li><li>Whisper quiet</li></ul>",Intelligent Home,Home & Garden > Bedding > Bedroom Accessories,Bedroom,"bedroom, diffuser, essential-oil, night-light, wellness",true,Color,White Oak,,,IH-BD-004,400,shopify,30,deny,manual,39.99,49.99,true,true,,Essential oil diffuser with warm night light in white oak finish,Essential Oil Diffuser | Intelligent Home,Whisper-quiet ultrasonic essential oil diffuser with night light. 300ml 8-hour capacity.,Bedroom
turkish-cotton-towel-set,Turkish Cotton Towel Set,"<p>Plush 700 GSM Turkish cotton towels. Incredibly soft and absorbent with a quick-dry weave. Set includes 2 bath towels, 2 hand towels, and 2 face cloths. Gets softer after every wash.</p><ul><li>700 GSM Turkish cotton</li><li>6-piece set</li><li>Quick-dry weave</li><li>OEKO-TEX certified</li></ul>",Intelligent Home,Home & Garden > Bathroom > Towels,Bathroom,"bathroom, towels, turkish-cotton, premium, set, best-seller",true,Color,White,,,IH-BT-001,2500,shopify,30,deny,manual,69.99,89.99,true,true,,6-piece Turkish cotton towel set in white,Turkish Cotton Towel Set | Intelligent Home,Plush 700 GSM Turkish cotton towel set. 6 pieces. Incredibly soft and quick-drying.,Bathroom
turkish-cotton-towel-set,,,,,,,,Color,Sage,,,IH-BT-001-S,2500,shopify,25,deny,manual,69.99,89.99,true,true,,,,,,
turkish-cotton-towel-set,,,,,,,,Color,Charcoal,,,IH-BT-001-C,2500,shopify,25,deny,manual,69.99,89.99,true,true,,,,,,
bamboo-bath-caddy,Bamboo Bath Caddy Tray,"<p>Extendable bamboo bath tray fits any standard bathtub. Features book/tablet holder, wine glass slot, candle space, and phone holder. Transform your bath into a spa experience.</p><ul><li>Extends 75cm to 110cm</li><li>Water-resistant bamboo</li><li>Non-slip grips</li><li>Multiple compartments</li></ul>",Intelligent Home,Home & Garden > Bathroom > Bathroom Accessories,Bathroom,"bathroom, bath-caddy, bamboo, spa, relaxation",true,Material,Bamboo,,,IH-BT-002,1200,shopify,35,deny,manual,44.99,59.99,true,true,,Extendable bamboo bath caddy tray with book and wine holder,Bamboo Bath Caddy | Intelligent Home,Extendable bamboo bath tray with book holder wine glass slot and phone holder. Spa experience at home.,Bathroom
soap-dispenser-set,Ceramic Soap Dispenser Set,"<p>Matching soap dispenser and dish set in a beautiful matte ceramic finish. Pump mechanism is smooth and reliable. Elevate your bathroom or kitchen sink area instantly.</p><ul><li>Matte ceramic finish</li><li>350ml capacity</li><li>Stainless steel pump</li><li>Includes soap dish</li></ul>",Intelligent Home,Home & Garden > Bathroom > Bathroom Accessories,Bathroom,"bathroom, soap-dispenser, ceramic, matte, modern",true,Color,Stone,,,IH-BT-003,600,shopify,50,deny,manual,24.99,32.99,true,true,,Ceramic soap dispenser and dish set in matte stone finish,Ceramic Soap Dispenser Set | Intelligent Home,Matching ceramic soap dispenser and dish in matte finish. 350ml with stainless steel pump.,Bathroom
shower-caddy-organizer,Shower Caddy Corner Shelf,"<p>Rust-proof aluminum corner shower caddy with 3 tiers. Strong adhesive mounting — no drilling required. Drainage holes prevent water buildup. Holds all your shower essentials.</p><ul><li>Rust-proof aluminum</li><li>3 tiers</li><li>No drilling needed</li><li>Drainage holes</li><li>Holds up to 5kg per tier</li></ul>",Intelligent Home,Home & Garden > Bathroom > Bathroom Accessories,Bathroom,"bathroom, shower-caddy, organizer, rust-proof, no-drill",true,Color,Matte Black,,,IH-BT-004,700,shopify,45,deny,manual,29.99,39.99,true,true,,3-tier corner shower caddy in matte black - no drilling required,Shower Caddy Organizer | Intelligent Home,Rust-proof aluminum corner shower caddy. 3 tiers no drilling required. Holds 5kg per tier.,Bathroom
linen-cushion-covers,Linen Cushion Cover Set,"<p>Soft stonewashed linen cushion covers that add instant texture to your sofa or bed. Hidden zipper closure. Set of 2 covers (inserts not included). Available in curated earthy tones.</p><ul><li>100% European flax linen</li><li>45cm x 45cm</li><li>Set of 2</li><li>Hidden zipper</li><li>Machine washable</li></ul>",Intelligent Home,Home & Garden > Living Room > Decorative Pillows,Living Room,"living-room, cushion, linen, covers, texture, decor",true,Color,Oatmeal,,,IH-LR-001,350,shopify,40,deny,manual,34.99,44.99,true,true,,Stonewashed linen cushion cover set in oatmeal - set of 2,Linen Cushion Covers | Intelligent Home,Soft stonewashed linen cushion cover set. 45x45cm set of 2. European flax linen.,Living Room
linen-cushion-covers,,,,,,,,Color,Olive,,,IH-LR-001-O,350,shopify,35,deny,manual,34.99,44.99,true,true,,,,,,
scented-candle-collection,Scented Soy Candle — Calm,"<p>Hand-poured soy wax candle with natural essential oil blend. 45-hour burn time in a beautiful reusable ceramic vessel. Notes of lavender, eucalyptus, and cedarwood create a calming atmosphere.</p><ul><li>100% natural soy wax</li><li>Essential oil fragrance</li><li>45-hour burn time</li><li>Reusable ceramic vessel</li><li>Cotton wick</li></ul>",Intelligent Home,Home & Garden > Living Room > Candles,Living Room,"living-room, candle, soy, scented, calm, relaxation",true,Scent,Calm (Lavender & Cedar),,,IH-LR-002,400,shopify,60,deny,manual,29.99,37.99,true,true,,Hand-poured soy candle in ceramic vessel - Calm scent,Scented Soy Candle | Intelligent Home,Hand-poured soy wax candle with essential oils. 45-hour burn time. Reusable ceramic vessel.,Living Room
scented-candle-collection,,,,,,,,Scent,Fresh (Eucalyptus & Mint),,,IH-LR-002-F,400,shopify,50,deny,manual,29.99,37.99,true,true,,,,,,
woven-storage-basket,Woven Storage Basket Set,"<p>Handwoven seagrass baskets in 3 graduated sizes. Perfect for organizing magazines, blankets, toys, or plants. Sturdy handles for easy carrying. Each basket is unique due to handmade construction.</p><ul><li>Natural seagrass</li><li>3 sizes (S, M, L)</li><li>Sturdy handles</li><li>Handwoven</li></ul>",Intelligent Home,Home & Garden > Living Room > Storage & Organization,Living Room,"living-room, storage, basket, woven, seagrass, natural, best-seller",true,Set,3-Piece (S/M/L),,,IH-LR-003,1500,shopify,30,deny,manual,49.99,64.99,true,true,,Handwoven seagrass storage basket set - 3 sizes,Woven Storage Baskets | Intelligent Home,Handwoven seagrass storage baskets in 3 sizes. Perfect for organizing any living space.,Living Room
minimalist-wall-clock,Minimalist Wall Clock,"<p>Silent sweep movement wall clock with a clean Scandinavian design. No ticking sound — perfect for bedrooms and living spaces. Natural beechwood frame with a matte white face.</p><ul><li>Silent sweep movement</li><li>30cm diameter</li><li>Beechwood frame</li><li>1x AA battery (not included)</li></ul>",Intelligent Home,Home & Garden > Living Room > Clocks,Living Room,"living-room, clock, minimalist, silent, scandinavian",true,Size,30cm,,,IH-LR-004,500,shopify,40,deny,manual,39.99,49.99,true,true,,Minimalist silent wall clock with beechwood frame,Minimalist Wall Clock | Intelligent Home,Silent sweep wall clock with Scandinavian design. Beechwood frame. No ticking sound.,Living Room
cotton-knit-throw,Cotton Knit Throw Blanket,"<p>Chunky knit throw in soft organic cotton. Adds warmth and texture to any sofa or armchair. Generous size for cozy evenings. Machine washable for easy care.</p><ul><li>100% organic cotton</li><li>Chunky knit pattern</li><li>130cm x 170cm</li><li>Machine washable</li></ul>",Intelligent Home,Home & Garden > Living Room > Blankets & Throws,Living Room,"living-room, throw, blanket, knit, cotton, cozy",true,Color,Sand,,,IH-LR-005,1100,shopify,30,deny,manual,59.99,74.99,true,true,,Chunky knit organic cotton throw blanket in sand,Cotton Knit Throw | Intelligent Home,Chunky knit organic cotton throw blanket. 130x170cm. Machine washable. Perfect for cozy evenings.,Living Room
cotton-knit-throw,,,,,,,,Color,Charcoal,,,IH-LR-005-C,1100,shopify,25,deny,manual,59.99,74.99,true,true,,,,,,
